date,total.confirmed,district,state,total.deceased,total.recovered,delta.confirmed,delta.deceased,delta.recovered,delta.tested,total.tested,delta.other,total.other,levitt.Metric,MA.21.daily.tests,delta.positivity,MA.21.delta.positivity,delta.percent.case.growth,delta.hospitalized,total.hospitalized,delta.active,spline.active,spline.deceased,spline.hospitalized,spline.recovered,delta.tested.non.impu,delta.confirmed.non.impu,delta.deceased.non.impu,delta.recovered.non.impu,delta.other.non.impu,total.tested.non.impu,total.confirmed.non.impu,total.recovered.non.impu,total.deceased.non.impu,total.other.non.impu,delta.active.non.impu,MA.21.daily.active.non.impu,MA.21.daily.deceased.non.impu,MA.21.daily.recovered.non.impu
2020-04-20,46.0,Mumbai,MH,2.0,9.0,46.0,2.0,9.0,5586.0,5586.0,0.0,0.0,,,0.8234872896527032,,,6.830615360837075,6.830615360837075,35.0,35.0,2.0,6.830615360837075,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2020-04-21,92.0,Mumbai,MH,4.0,18.0,46.0,2.0,9.0,5586.0,11172.0,0.0,0.0,0.6931471805599453,,0.8234872896527032,,0.0,6.830615360837075,13.66123072167415,70.0,70.0,2.0,6.830615360837075,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2020-04-22,138.0,Mumbai,MH,6.0,27.0,46.0,2.0,9.0,5586.0,16758.0,0.0,0.0,0.4054651081081644,,0.8234872896527032,,0.0,6.830615360837075,20.491846082511223,105.0,105.0,2.0,6.830615360837075,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2020-04-23,184.0,Mumbai,MH,8.0,36.0,46.0,2.0,9.0,5586.0,22344.0,0.0,0.0,0.28768207245178085,,0.8234872896527032,,0.0,6.830615360837075,27.3224614433483,140.0,140.0,2.0,6.830615360837075,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2020-04-24,230.0,Mumbai,MH,10.0,45.0,46.0,2.0,9.0,5586.0,27930.0,0.0,0.0,0.22314355131420976,,0.8234872896527032,,0.0,6.830615360837075,34.153076804185375,175.0,175.0,2.0,6.830615360837075,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2020-04-25,276.0,Mumbai,MH,12.0,54.0,46.0,2.0,9.0,5586.0,33516.0,0.0,0.0,0.1823215567939546,,0.8234872896527032,,0.0,6.830615360837075,40.98369216502245,210.0,210.0,2.0,6.830615360837075,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2020-04-26,322.0,Mumbai,MH,14.0,63.0,46.0,2.0,9.0,5586.0,39102.0,0.0,0.0,0.15415067982725836,,0.8234872896527032,,0.0,6.830615360837075,47.81430752585952,245.0,245.0,2.0,6.830615360837075,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2020-04-27,368.0,Mumbai,MH,16.0,72.0,46.0,2.0,9.0,5586.0,44688.0,0.0,0.0,0.13353139262452257,,0.8234872896527032,,0.0,6.830615360837075,54.64492288669659,280.0,280.0,2.0,6.830615360837075,9.0,0.0,369.0,15.0,70.0,0.0,0.0,369.0,70.0,15.0,0.0,284.0,,,
2020-04-28,761.0,Mumbai,MH,41.0,159.0,393.0,25.0,87.0,5586.0,50274.0,0.0,0.0,0.9409833444645266,,7.035445757250268,,7.5434782608695645,58.357213843673264,113.00213673036986,561.0,561.0,25.0,58.357213843673264,87.0,0.0,393.0,25.0,87.0,0.0,0.0,762.0,157.0,40.0,0.0,565.0,,,
2020-04-29,1236.0,Mumbai,MH,67.0,297.0,475.0,26.0,138.0,5586.0,55860.0,0.0,0.0,0.4911205526866582,,8.503401360544217,,0.20865139949109412,70.53352818255675,183.53566491292662,872.0,872.0,26.0,70.53352818255675,138.0,0.0,475.0,26.0,138.0,0.0,0.0,1237.0,295.0,66.0,0.0,876.0,,,
2020-04-30,1653.0,Mumbai,MH,87.0,453.0,417.0,20.0,156.0,5586.0,61446.0,0.0,0.0,0.26121549926361765,,7.465091299677766,,-0.12210526315789472,61.92101316237087,245.45667807529748,1113.0,1113.0,20.0,61.92101316237087,156.0,0.0,417.0,20.0,156.0,0.0,0.0,1654.0,451.0,86.0,0.0,1117.0,,,
2020-05-01,2404.0,Mumbai,MH,93.0,495.0,751.0,6.0,42.0,5586.0,67032.0,0.0,0.0,0.06669137449867214,,13.444325098460435,,0.8009592326139088,111.5172203475792,356.9738984228767,1816.0,1816.0,6.0,111.5172203475792,42.0,0.0,751.0,6.0,42.0,0.0,0.0,2405.0,493.0,92.0,0.0,1820.0,,,
2020-05-02,2951.0,Mumbai,MH,119.0,564.0,547.0,26.0,69.0,5586.0,72618.0,0.0,0.0,0.24652399995827343,,9.792337987826711,,-0.2716378162450066,81.22492613864956,438.19882456152624,2268.0,2268.0,26.0,81.22492613864956,69.0,0.0,547.0,26.0,69.0,0.0,0.0,2952.0,562.0,118.0,0.0,2272.0,,,
2020-05-03,3392.0,Mumbai,MH,140.0,591.0,441.0,21.0,27.0,5586.0,78204.0,0.0,0.0,0.16251892949777494,,7.894736842105263,,-0.19378427787934183,65.48481248106847,503.6836370425947,2661.0,2661.0,21.0,65.48481248106847,27.0,0.0,441.0,21.0,27.0,0.0,0.0,3393.0,589.0,139.0,0.0,2665.0,,,
2020-05-04,3902.0,Mumbai,MH,158.0,756.0,510.0,18.0,165.0,5586.0,83790.0,0.0,0.0,0.12095261041766249,,9.129967776584317,,0.15646258503401356,75.73073552232408,579.4143725649187,2988.0,2988.0,18.0,75.73073552232408,165.0,0.0,510.0,18.0,165.0,0.0,0.0,3903.0,754.0,157.0,0.0,2992.0,,,
2020-05-05,4537.0,Mumbai,MH,184.0,966.0,635.0,26.0,210.0,5586.0,89376.0,0.0,0.0,0.1523407245820188,,11.367704976727532,,0.2450980392156863,94.29219030720743,673.7065628721261,3387.0,3387.0,26.0,94.29219030720743,210.0,0.0,635.0,26.0,210.0,0.0,0.0,4538.0,964.0,183.0,0.0,3391.0,,,
2020-05-06,5306.0,Mumbai,MH,209.0,1055.0,769.0,25.0,89.0,5586.0,94962.0,0.0,0.0,0.12739849435582543,,13.766559255281061,,0.21102362204724412,114.19006983660239,787.8966327087285,4042.0,4042.0,25.0,114.19006983660239,89.0,0.0,769.0,25.0,89.0,0.0,0.0,5307.0,1053.0,208.0,0.0,4046.0,,,
2020-05-07,5986.0,Mumbai,MH,234.0,1154.0,680.0,25.0,99.0,5586.0,100548.0,0.0,0.0,0.11298686339289049,,12.17329036877909,,-0.11573472041612487,100.97431402976545,888.8709467384939,4598.0,4598.0,25.0,100.97431402976545,99.0,0.0,680.0,25.0,99.0,0.0,0.0,5987.0,1152.0,233.0,0.0,4602.0,,,
2020-05-08,6734.0,Mumbai,MH,259.0,1228.0,748.0,25.0,74.0,5586.0,106134.0,0.0,0.0,0.10150694634183638,,13.390619405657,,0.10000000000000009,111.07174543274199,999.9426921712359,5247.0,5247.0,25.0,111.07174543274199,74.0,0.0,748.0,25.0,74.0,0.0,0.0,6735.0,1226.0,258.0,0.0,5251.0,,,
2020-05-09,7456.0,Mumbai,MH,286.0,1442.0,722.0,27.0,214.0,5586.0,111720.0,0.0,0.0,0.09916374912031485,,12.925170068027212,,-0.03475935828877008,107.21096283748625,1107.1536550087221,5728.0,5728.0,27.0,107.21096283748625,214.0,0.0,722.0,27.0,0.0,0.0,0.0,7457.0,1226.0,285.0,0.0,5946.0,,,
2020-05-10,8331.0,Mumbai,MH,305.0,1656.0,875.0,19.0,214.0,5586.0,117306.0,0.0,0.0,0.06431996578755905,5586.0,15.664160401002505,7.10193851976881,0.2119113573407203,129.93018349418347,1237.0838385029056,6370.0,6370.0,19.0,129.93018349418347,214.0,0.0,875.0,19.0,429.0,0.0,0.0,8332.0,1655.0,304.0,0.0,6373.0,2009.5238095238096,14.476190476190476,78.80952380952381
2020-05-11,9113.0,Mumbai,MH,325.0,1726.0,782.0,20.0,70.0,5586.0,122892.0,0.0,0.0,0.06351340572232593,5586.0,13.999283924095954,7.729357407123251,-0.10628571428571432,116.12046113423027,1353.2042996371358,7062.0,7062.0,20.0,116.12046113423027,70.0,0.0,782.0,20.0,70.0,0.0,0.0,9114.0,1725.0,324.0,0.0,7065.0,2345.9523809523807,15.428571428571429,82.14285714285714
2020-05-12,9539.0,Mumbai,MH,353.0,1873.0,426.0,28.0,147.0,5586.0,128478.0,0.0,0.0,0.08264287460355937,5586.0,7.626208378088077,8.053296506572556,-0.4552429667519181,63.25743790688247,1416.4617375440182,7313.0,7313.0,28.0,63.25743790688247,147.0,0.0,426.0,28.0,147.0,0.0,0.0,9540.0,1872.0,352.0,0.0,7316.0,2694.3333333333335,16.761904761904763,89.14285714285714
2020-05-13,10339.0,Mumbai,MH,393.0,2099.0,800.0,40.0,226.0,5586.0,134064.0,0.0,0.0,0.10734155493596446,5586.0,14.321518080916576,8.696059877585121,0.8779342723004695,118.79331062325346,1535.2550481672718,7847.0,7847.0,40.0,118.79331062325346,226.0,0.0,800.0,40.0,226.0,0.0,0.0,10340.0,2098.0,392.0,0.0,7850.0,3068.1428571428573,18.666666666666668,99.9047619047619
2020-05-14,11330.0,Mumbai,MH,418.0,2304.0,991.0,25.0,205.0,5586.0,139650.0,0.0,0.0,0.06167182065549514,5586.0,17.74078052273541,9.501645269636679,0.23875000000000002,147.15521353455523,1682.410261701827,8608.0,8608.0,25.0,147.15521353455523,205.0,0.0,991.0,25.0,205.0,0.0,0.0,11331.0,2303.0,417.0,0.0,8611.0,3478.190476190476,19.857142857142858,109.66666666666667
2020-05-15,12263.0,Mumbai,MH,452.0,2485.0,933.0,34.0,181.0,5586.0,145236.0,0.0,0.0,0.07820074730747496,5586.0,16.702470461868955,10.257787325456501,-0.05852674066599395,138.54269851436936,1820.9529602161965,9326.0,9326.0,34.0,138.54269851436936,181.0,0.0,933.0,34.0,181.0,0.0,0.0,12264.0,2484.0,451.0,0.0,9329.0,3922.4285714285716,21.476190476190474,118.28571428571429
2020-05-16,13147.0,Mumbai,MH,493.0,2620.0,884.0,41.0,135.0,5586.0,150822.0,0.0,0.0,0.08682699421045889,5586.0,15.825277479412817,10.97215828687365,-0.052518756698821,131.26660823869508,1952.2195684548915,10034.0,10034.0,41.0,131.26660823869508,135.0,0.0,884.0,41.0,135.0,0.0,0.0,13148.0,2619.0,492.0,0.0,10037.0,4400.380952380952,23.428571428571427,124.71428571428571
2020-05-17,14742.0,Mumbai,MH,531.0,2858.0,1595.0,38.0,238.0,5586.0,156408.0,0.0,0.0,0.0742528471992487,5586.0,28.553526673827424,12.292636352786733,0.8042986425339367,236.8441630551116,2189.063731510003,11353.0,11353.0,38.0,236.8441630551116,238.0,0.0,1595.0,38.0,238.0,0.0,0.0,14743.0,2857.0,530.0,0.0,11356.0,4941.142857142857,25.238095238095237,136.04761904761904
2020-05-18,15927.0,Mumbai,MH,554.0,3090.0,1185.0,23.0,232.0,5586.0,161994.0,0.0,0.0,0.04240266550534498,5586.0,21.21374865735768,13.263601179820304,-0.25705329153605017,154.04622229124735,2343.1099538012504,12283.0,12283.0,23.0,154.04622229124735,232.0,162000.0,1185.0,23.0,232.0,0.0,162000.0,15928.0,3089.0,553.0,0.0,12286.0,5512.666666666667,25.61904761904762,143.76190476190476
2020-05-19,17338.0,Mumbai,MH,597.0,3712.0,1411.0,43.0,622.0,668.0,162662.0,0.0,0.0,0.07475242664531827,5351.809523809524,211.22754491017966,22.98703447281694,0.19071729957805905,209.5217016117633,2552.6316554130135,13029.0,13029.0,43.0,209.5217016117633,622.0,0.0,1411.0,43.0,622.0,0.0,162000.0,17339.0,3711.0,596.0,0.0,13032.0,6106.333333333333,26.476190476190474,169.23809523809524
2020-05-20,18710.0,Mumbai,MH,638.0,4062.0,1372.0,41.0,350.0,668.0,163330.0,0.0,0.0,0.06642116995218783,5117.619047619048,205.3892215568862,32.3625497202618,-0.027639971651311157,203.7305277188797,2756.3621831318933,14010.0,14010.0,41.0,203.7305277188797,350.0,0.0,1372.0,41.0,350.0,0.0,162000.0,18711.0,4061.0,637.0,0.0,14013.0,6731.9047619047615,27.19047619047619,179.33333333333334
2020-05-21,20092.0,Mumbai,MH,679.0,5129.0,1382.0,41.0,1067.0,668.0,163998.0,0.0,0.0,0.0622828442139063,4883.428571428572,206.88622754491018,41.85879430336811,0.007288629737609353,205.21544410167036,2961.577627233564,14284.0,14284.0,41.0,205.21544410167036,1067.0,0.0,1382.0,41.0,1067.0,0.0,162000.0,20093.0,5128.0,678.0,0.0,14287.0,7359.047619047619,28.19047619047619,222.71428571428572
2020-05-22,21843.0,Mumbai,MH,706.0,5456.0,1751.0,27.0,327.0,668.0,164666.0,0.0,0.0,0.03899410993454603,4649.238095238095,262.12574850299404,53.70076684644114,0.26700434153400865,274.0232324220703,3235.600859655634,15681.0,15681.0,27.0,274.0232324220703,327.0,2671.0,1751.0,27.0,327.0,0.0,164671.0,21844.0,5455.0,705.0,0.0,15684.0,8019.238095238095,29.19047619047619,236.28571428571428
2020-05-23,23409.0,Mumbai,MH,746.0,5741.0,1566.0,40.0,285.0,3390.0,168056.0,0.0,0.0,0.05511036271051867,4544.666666666667,46.19469026548673,55.434212192996384,-0.10565391205025698,232.53790554501867,3468.1387652006524,16922.0,16922.0,40.0,232.53790554501867,285.0,0.0,1566.0,40.0,285.0,0.0,164671.0,23410.0,5740.0,745.0,0.0,16925.0,8717.0,29.857142857142858,246.57142857142858
2020-05-24,25134.0,Mumbai,MH,785.0,6443.0,1725.0,39.0,702.0,3390.0,171446.0,0.0,0.0,0.05095811757864751,4440.0952380952385,50.88495575221239,57.48136547443006,0.1015325670498084,256.1480760313903,3724.2868412320427,17906.0,17906.0,39.0,256.1480760313903,702.0,0.0,1725.0,39.0,702.0,0.0,164671.0,25135.0,6442.0,784.0,0.0,17909.0,9442.904761904761,30.714285714285715,278.7142857142857
2020-05-25,26564.0,Mumbai,MH,823.0,6944.0,1430.0,38.0,501.0,3390.0,174836.0,0.0,0.0,0.04727248289466137,4335.523809523809,42.18289085545723,59.05531419247162,-0.17101449275362324,176.14810864511617,3900.434949877159,18797.0,18797.0,38.0,176.14810864511617,501.0,10170.0,1430.0,38.0,501.0,0.0,174841.0,26565.0,6943.0,822.0,0.0,18800.0,10195.666666666666,31.666666666666668,294.7142857142857
2020-05-26,27566.0,Mumbai,MH,862.0,7373.0,1002.0,39.0,429.0,5430.0,180266.0,0.0,0.0,0.04629906998662337,4328.0952380952385,18.45303867403315,59.39271103520046,-0.29930069930069925,148.78862155562496,4049.223571432784,19331.0,19331.0,39.0,148.78862155562496,429.0,0.0,1002.0,39.0,429.0,0.0,174841.0,27567.0,7372.0,861.0,0.0,19334.0,10954.857142857143,32.285714285714285,305.14285714285717
2020-05-27,28610.0,Mumbai,MH,894.0,7768.0,1044.0,32.0,395.0,5430.0,185696.0,0.0,0.0,0.03645050450982104,4320.666666666667,19.226519337016573,59.65270913433072,0.041916167664670656,132.3867597112522,4181.6103311440365,19948.0,19948.0,32.0,132.3867597112522,395.0,10860.0,1044.0,32.0,395.0,0.0,185701.0,28611.0,7767.0,893.0,0.0,19951.0,11712.238095238095,32.61904761904762,319.7142857142857
2020-05-28,30077.0,Mumbai,MH,932.0,8010.0,1467.0,38.0,242.0,4266.0,189962.0,0.0,0.0,0.04162703951207702,4257.809523809524,34.38818565400844,60.71056129077021,0.4051724137931034,218.10406833395587,4399.714399477993,21135.0,21135.0,38.0,218.10406833395587,242.0,4266.0,1467.0,38.0,242.0,0.0,189967.0,30078.0,8009.0,931.0,0.0,21138.0,12499.666666666666,33.23809523809524,326.5238095238095
2020-05-29,31524.0,Mumbai,MH,970.0,15368.0,1447.0,38.0,7358.0,2885.0,192847.0,0.0,0.0,0.039963256811837364,4129.190476190476,50.15597920277296,62.46129270968049,-0.013633265167007469,214.8674005898097,4614.581800067803,15186.0,15186.0,38.0,214.8674005898097,7358.0,0.0,1447.0,38.0,7358.0,0.0,189967.0,31525.0,15367.0,969.0,0.0,15189.0,12972.904761904761,33.857142857142854,673.3809523809524
2020-05-30,33034.0,Mumbai,MH,1024.0,15724.0,1510.0,54.0,356.0,2885.0,195732.0,0.0,0.0,0.054175734102024614,4000.5714285714284,52.33968804159446,64.33817451794559,0.04353835521769178,224.22237380139092,4838.804173869194,16286.0,16286.0,54.0,224.22237380139092,356.0,0.0,1510.0,54.0,356.0,0.0,189967.0,33035.0,15723.0,1023.0,0.0,16289.0,13465.42857142857,35.142857142857146,690.3333333333334
2020-05-31,34278.0,Mumbai,MH,1076.0,16151.0,1244.0,52.0,427.0,2885.0,198617.0,0.0,0.0,0.04953393512227663,3871.9523809523807,43.11958405545927,65.64557564434828,-0.17615894039735103,184.72359801915914,5023.527771888353,17051.0,17051.0,52.0,184.72359801915914,427.0,0.0,1244.0,52.0,427.0,0.0,189967.0,34279.0,16150.0,1075.0,0.0,17054.0,13974.047619047618,36.714285714285715,690.2380952380952
2020-06-01,35691.0,Mumbai,MH,1116.0,16345.0,1413.0,40.0,194.0,2885.0,201502.0,0.0,0.0,0.036500402219526426,3743.3333333333335,48.97746967071057,67.31120353704422,0.13585209003215426,193.57533855611163,5217.103110444465,18230.0,18230.0,40.0,193.57533855611163,194.0,11540.0,1413.0,40.0,194.0,0.0,201507.0,35692.0,16344.0,1115.0,0.0,18233.0,14505.857142857143,37.666666666666664,696.1428571428571
2020-06-02,36808.0,Mumbai,MH,1165.0,16573.0,1117.0,49.0,228.0,5287.0,206789.0,0.0,0.0,0.042970223058544796,3729.095238095238,21.127293361074333,67.95411234575786,-0.2094833687190375,165.86515995771765,5382.9682704021825,19070.0,19070.0,49.0,165.86515995771765,228.0,0.0,1117.0,49.0,228.0,0.0,201507.0,36809.0,16572.0,1164.0,0.0,19073.0,15065.714285714286,38.666666666666664,700.0
2020-06-03,38084.0,Mumbai,MH,1214.0,16832.0,1276.0,49.0,259.0,5287.0,212076.0,0.0,0.0,0.04119960561964255,3714.8571428571427,24.134669945148477,68.42140529167366,0.14234556848701874,183.02259523002405,5565.990865632207,20038.0,20038.0,49.0,183.02259523002405,259.0,10574.0,1276.0,49.0,259.0,0.0,212081.0,38085.0,16831.0,1213.0,0.0,20041.0,15646.238095238095,39.095238095238095,701.5714285714286
2020-06-04,39523.0,Mumbai,MH,1262.0,17456.0,1439.0,48.0,624.0,3748.0,215824.0,0.0,0.0,0.038777071481714886,3627.3333333333335,38.39381003201708,69.40488288735375,0.12774294670846387,189.59064470922377,5755.581510341431,20805.0,20805.0,48.0,189.59064470922377,624.0,3748.0,1439.0,48.0,624.0,0.0,215829.0,39524.0,17455.0,1261.0,0.0,20808.0,16227.047619047618,40.19047619047619,721.5238095238095
2020-06-05,40672.0,Mumbai,MH,1316.0,18138.0,1149.0,54.0,682.0,3548.0,219372.0,0.0,0.0,0.04189906878410394,3530.285714285714,32.384441939120634,70.15164343388955,-0.2015288394718554,170.6168923826478,5926.198402724079,21218.0,21218.0,54.0,170.6168923826478,682.0,0.0,1149.0,54.0,682.0,0.0,215829.0,40673.0,18137.0,1315.0,0.0,21221.0,16793.333333333332,41.142857142857146,745.3809523809524
2020-06-06,41946.0,Mumbai,MH,1374.0,19337.0,1274.0,58.0,1199.0,3548.0,222920.0,0.0,0.0,0.04312936089703224,3433.2380952380954,35.90755355129651,71.10794229445544,0.10879025239338547,189.17834716753114,6115.3767498916095,21235.0,21235.0,58.0,189.17834716753114,1199.0,0.0,1274.0,58.0,1199.0,0.0,215829.0,41947.0,19336.0,1373.0,0.0,21238.0,17326.714285714286,41.95238095238095,796.047619047619
2020-06-07,43366.0,Mumbai,MH,1435.0,20550.0,1420.0,61.0,1213.0,3548.0,226468.0,0.0,0.0,0.043438655411426844,3336.190476190476,40.022547914317926,71.65408616305024,0.11459968602825743,210.8581263562749,6326.234876247884,21381.0,21381.0,61.0,210.8581263562749,1213.0,0.0,1420.0,61.0,1213.0,0.0,215829.0,43367.0,20549.0,1434.0,0.0,21384.0,17804.238095238095,43.04761904761905,842.4761904761905
2020-06-08,44677.0,Mumbai,MH,1499.0,21392.0,1311.0,64.0,842.0,3548.0,230016.0,0.0,0.0,0.04363336990887617,3239.1428571428573,36.950394588500565,72.40345025500942,-0.0767605633802817,194.67253778385663,6520.907414031741,21786.0,21786.0,64.0,194.67253778385663,842.0,0.0,1311.0,64.0,842.0,0.0,215829.0,44678.0,21391.0,1498.0,0.0,21789.0,18256.761904761905,45.0,871.5238095238095
2020-06-09,45692.0,Mumbai,MH,1557.0,22303.0,1015.0,58.0,911.0,3548.0,233564.0,0.0,0.0,0.03796267373140053,3376.285714285714,28.607666290868096,63.707265558851724,-0.22578184591914574,153.8518615894066,6674.759275621147,21832.0,21832.0,58.0,153.8518615894066,911.0,17741.0,1015.0,58.0,911.0,0.0,233570.0,45693.0,22302.0,1556.0,0.0,21835.0,18675.95238095238,45.714285714285715,885.2857142857143
2020-06-10,47259.0,Mumbai,MH,1654.0,23054.0,1567.0,97.0,751.0,4681.0,238245.0,0.0,0.0,0.06043570374963827,3567.3809523809523,33.47575304422132,55.5209099153915,0.5438423645320196,232.68639718329774,6907.445672804445,22551.0,22551.0,97.0,232.68639718329774,751.0,0.0,1567.0,97.0,751.0,0.0,233570.0,47260.0,23053.0,1653.0,0.0,22554.0,19082.666666666668,48.38095238095238,904.3809523809524
2020-06-11,48677.0,Mumbai,MH,1751.0,23569.0,1418.0,97.0,515.0,4681.0,242926.0,0.0,0.0,0.0569904567022152,3758.4761904761904,30.292672505874812,47.111693008770764,-0.09508615188257818,226.16878223610803,7133.614455040553,23357.0,23357.0,97.0,226.16878223610803,515.0,9362.0,1418.0,97.0,515.0,0.0,242932.0,48678.0,23568.0,1750.0,0.0,23360.0,19514.714285714286,51.04761904761905,878.0952380952381
2020-06-12,50043.0,Mumbai,MH,1841.0,24512.0,1366.0,90.0,943.0,4570.0,247496.0,0.0,0.0,0.05012184894722596,3944.285714285714,29.89059080962801,36.05287597575333,-0.03667136812411853,202.8395778892053,7336.454032929759,23690.0,23690.0,90.0,202.8395778892053,943.0,0.0,1366.0,90.0,943.0,0.0,242932.0,50044.0,24511.0,1840.0,0.0,23693.0,19896.095238095237,54.04761904761905,907.4285714285714
2020-06-13,51423.0,Mumbai,MH,1910.0,25307.0,1380.0,69.0,795.0,4570.0,252066.0,0.0,0.0,0.036794339807597595,4000.4761904761904,30.196936542669583,35.29107817942871,0.01024890190336758,204.91846082511222,7541.372493754871,24206.0,24206.0,69.0,204.91846082511222,795.0,0.0,1380.0,69.0,795.0,8.0,242932.0,51424.0,25306.0,1909.0,8.0,24201.0,20242.571428571428,55.42857142857143,931.7142857142857
